A,n,E
2.65E+16,-6.70E-01,7.13E+01
3.87E+04,2.70E+00,2.62E+01
2.16E+08,1.51E+00,1.44E+01
3.57E+04,2.40E+00,-8.83E+00
0.00E+00,0.00E+00,0.00E+00
1.00E+18,-1.00E+00,0.00E+00
9.00E+16,-6.00E-01,0.00E+00
6.00E+19,-1.25E+00,0.00E+00
1.20E+17,-1.00E+00,0.00E+00
5.00E+17,-1.00E+00,0.00E+00
2.20E+22,-2.00E+00,0.00E+00
2.80E+18,-8.60E-01,0.00E+00
2.08E+19,-1.24E+00,0.00E+00
1.13E+19,-7.60E-01,0.00E+00
2.60E+19,-1.24E+00,0.00E+00
4.48E+13,0.00E+00,4.47E+00
8.40E+13,0.00E+00,2.66E+00
3.97E+12,0.00E+00,2.81E+00
2.00E+13,0.00E+00,0.00E+00
1.45E+13,0.00E+00,-2.09E+00
1.30E+11,0.00E+00,-6.82E+00
1.20E+17,0.00E+00,1.90E+02
2.30E+18,-9.00E-01,-7.12E+00
1.00E+13,0.00E+00,1.51E+01
1.21E+07,2.00E+00,2.18E+01
9.63E+06,2.00E+00,1.67E+01
2.00E+12,0.00E+00,1.79E+00
4.00E+14,-5.00E-01,0.00E+00
2.97E+06,2.02E+00,5.61E+01
1.00E+18,-1.00E+00,0.00E+00
